Name,Row,Column,Label,Annotator,Date annotated
10.08.20-transect1-02.JPG,697,1089,PCOM_Pig,teegani,2020-12-08 22:38:12+00:00
10.08.20-transect1-02.JPG,798,1607,PCOM_Pig,teegani,2020-12-08 22:38:12+00:00
10.08.20-transect1-02.JPG,813,1578,PCOM_Pig,teegani,2020-12-08 22:38:12+00:00
10.08.20-transect1-02.JPG,920,1478,PCOM_Pig,teegani,2020-12-08 22:38:12+00:00
10.08.20-transect1-02.JPG,696,1481,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,847,2165,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,982,723,SHAD,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,947,886,D_coral,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,974,1020,D_coral,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1049,1501,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1059,1465,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1105,1933,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1166,2379,TT,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,963,2275,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1340,815,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1312,775,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1404,1308,MCAP_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1451,1405,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1374,1426,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1363,1907,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1287,1881,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1291,1903,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1409,2146,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1648,942,D_coral,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1463,997,D_coral,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1521,1275,MCAP_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1676,1646,PCMP Pale,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1603,1432,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1648,1434,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1704,2065,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1624,1768,SHAD,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1604,2306,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1609,2236,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1592,2392,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1671,2254,SHAD,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1872,759,MCAP_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1756,797,SHAD,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1825,919,MCAP_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1807,1321,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1802,1546,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1731,1524,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1732,1809,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1883,1980,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1937,1777,SHAD,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-02.JPG,1720,2401,PCOM_Pig,teegani,2020-12-08 22:38:13+00:00
10.08.20-transect1-04.JPG,815,919,SHAD,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,633,966,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,785,1425,Turf_algae,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,591,1517,Turf_algae,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,657,1446,Turf_algae,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,647,1638,Turf_algae,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,776,2147,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,746,2161,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,800,2081,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,724,2118,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,695,2506,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,816,2491,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,591,2518,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,1023,1546,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,987,1699,PCOM_Pig,teegani,2020-12-08 22:41:54+00:00
10.08.20-transect1-04.JPG,1037,1655,PCMP Pale,teegani,2020-12-08 22:41:54+00:00
